panel_order,panel_label,panel_col,panel_row,section,force_pair,group,n_subjects,mean_pct,sd_pct,sem_pct,median_pct,q1_pct,q3_pct,iqr_pct,whisker_lo_pct,whisker_hi_pct,min_pct,max_pct,statistical_test,contrast,p_value,significance,subject_id,accuracy_pct,mean_same_trial_pct,mean_diff_trial_pct,same_trial_accuracy_pct,diff_trial_accuracy_pct,n_trials
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P24,8.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P24,50.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P25,58.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P25,25.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P25,50.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P26,66.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P26,25.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P26,83.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P27,100.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P27,33.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P27,50.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P28,100.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P28,16.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P28,66.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P30,91.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P30,16.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P30,83.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P32,83.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P32,16.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P32,66.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P42,83.333300,,,,,
