Subject,band,pair_label,region_group,n_diff,n_same,hits,false_alarms,H,FA,d_prime,criterion
P89,Low,0.6–1,Off-nail,8,4,4,2,0.5,0.5,0.0,-0.0
P89,Low,0.6–1,On-nail,8,4,4,2,0.5,0.5,0.0,-0.0
P89,Low,1–1.4,Off-nail,8,4,4,1,0.5,0.3,0.5244005127080409,0.26220025635402044
P89,Low,1–1.4,On-nail,8,4,5,0,0.6111111111111112,0.1,1.5637677126071086,0.4996677092410461
P89,Low,1–2,Off-nail,8,4,6,3,0.7222222222222222,0.7,0.06505528514173764,-0.5569281552789095
P89,Low,1–2,On-nail,8,4,7,1,0.8333333333333334,0.3,1.491822078809742,-0.22151052669683013
P90,High,10–26,Off-nail,8,4,6,1,0.7222222222222222,0.3,1.1138563105578192,-0.03252764257086871
P90,High,10–26,On-nail,8,4,3,1,0.3888888888888889,0.3,0.24218436564553275,0.40330832988527454
P90,High,15–26,Off-nail,8,4,4,0,0.5,0.1,1.2815515655446004,0.6407757827723002
P90,High,15–26,On-nail,8,4,4,0,0.5,0.1,1.2815515655446004,0.6407757827723002
P90,High,26–60,Off-nail,8,4,7,0,0.8333333333333334,0.1,2.2489731316463013,0.1570649997214496
P90,High,26–60,On-nail,8,4,4,1,0.5,0.3,0.5244005127080409,0.26220025635402044
P90,Low,0.4–1,Off-nail,8,4,4,2,0.5,0.5,0.0,-0.0
P90,Low,0.4–1,On-nail,8,4,3,2,0.3888888888888889,0.5,-0.28221614706250814,0.14110807353125407
P90,Low,0.6–1,Off-nail,8,4,6,0,0.7222222222222222,0.1,1.8710073633943787,0.34604788384741103
P90,Low,0.6–1,On-nail,8,4,1,1,0.16666666666666666,0.3,-0.44302105339366027,0.745911039404871
P90,Low,1–1.4,Off-nail,8,4,3,0,0.3888888888888889,0.1,0.9993354184820922,0.7818838563035543
P90,Low,1–1.4,On-nail,8,4,1,1,0.16666666666666666,0.3,-0.44302105339366027,0.745911039404871
P90,Low,1–2,Off-nail,8,4,7,1,0.8333333333333334,0.3,1.491822078809742,-0.22151052669683013
P90,Low,1–2,On-nail,8,4,4,2,0.5,0.5,0.0,-0.0
