figure,analysis_cohort,cohort_label,force_g,condition,condition_raw,n_trials,n_subjects,q1,median,q3,iqr,whisker_lo,whisker_hi,mean,sd,row_type,comparison,test,reference,test_group,shown_on_figure,pooling_method,p_value,sig_star,lme_coef,lme_ci_lo,lme_ci_hi,n_ref_observations,n_test_observations,n_ref_subjects,n_test_subjects,n_paired_subjects,mean_ref,mean_test,mean_diff,cohens_d,hedges_g,cohens_d_ci_lo,cohens_d_ci_hi,effect_size_method,sensitivity_note,source,source_raw,both_conditions_at_force,group,group_label,n_observations
Fig2_ontouch_vs_inair(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.400000,In-air,In-air,180.000000,15.000000,33.333333,41.428571,60.000000,26.666667,0.000000,100.000000,46.603175,21.968589,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.400000,On-touch,On-touch (Mid),180.000000,15.000000,50.000000,62.500000,75.000000,25.000000,12.500000,100.000000,63.396825,22.421854,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.600000,In-air,In-air,180.000000,15.000000,50.000000,66.666667,83.333333,33.333333,0.000000,100.000000,64.691138,23.869072,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",0.600000,On-touch,On-touch (Mid),180.000000,15.000000,60.000000,75.000000,87.500000,27.500000,28.571429,100.000000,72.093254,23.754215,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",1.000000,In-air,In-air,0.000000,0.000000,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",1.000000,On-touch,On-touch (Mid),0.000000,0.000000,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",1.400000,In-air,In-air,0.000000,0.000000,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),sensitivity_partial_n15,"Sensitivity: partial protocol only (P61–P75, n=15)",1.400000,On-touch,On-touch (Mid),0.000000,0.000000,,,,,,,,,descriptive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig2_ontouch_vs_inair(final),primary_all,Primary: all included subjects (matches final figures),0.070000,,,,,,,,,,,,,comparison,On-touch vs In-air,"LME (trial-level): Score ~ Condition, random intercept ~ subject",In-air,On-touch (Mid),False,trial-level (all areas),0.047715,*,2.146825,0.021611,4.272040,360.000000,360.000000,30.000000,30.000000,30.000000,5.411376,7.558201,2.146825,0.396224,0.385887,0.041469,0.805512,paired Cohen's d on subject-level means (test − ref),,,,,,,
Fig2_ontouch_vs_inair(final),primary_all,Primary: all included subjects (matches final figures),0.160000,,,,,,,,,,,,,comparison,On-touch vs In-air,"LME (trial-level): Score ~ Condition, random intercept ~ subject",In-air,On-touch (Mid),True,trial-level (all areas),0.000000,***,13.275794,10.317587,16.234001,540.000000,540.000000,45.000000,45.000000,45.000000,19.717372,32.993166,13.275794,0.756926,0.743950,0.499096,1.069196,paired Cohen's d on subject-level means (test − ref),,,,,,,
