Subject,band,region_group,n_signal,n_noise,hits,false_alarms,H,FA,d_prime,criterion
P48,High,Off-nail,4,8,0,3,0.1,0.3888888888888889,-0.9993354184820922,0.7818838563035543
P48,High,On-nail,4,8,4,3,0.9,0.3888888888888889,1.5637677126071086,-0.4996677092410461
P48,Low,Off-nail,8,8,4,3,0.5,0.3888888888888889,0.28221614706250814,0.14110807353125407
P48,Low,On-nail,8,8,5,4,0.6111111111111112,0.5,0.28221614706250825,-0.14110807353125412
P49,High,Off-nail,4,8,4,3,0.9,0.3888888888888889,1.5637677126071086,-0.4996677092410461
P49,High,On-nail,4,8,3,3,0.7,0.3888888888888889,0.8066166597705489,-0.12109218282276626
P49,Low,Off-nail,8,8,4,4,0.5,0.5,0.0,-0.0
P49,Low,On-nail,8,8,3,6,0.3888888888888889,0.7222222222222222,-0.8716719449122865,-0.15361982539363508
P50,High,Off-nail,4,8,3,3,0.7,0.3888888888888889,0.8066166597705489,-0.12109218282276626
P50,High,On-nail,4,8,4,4,0.9,0.5,1.2815515655446004,-0.6407757827723002
P50,Low,Off-nail,8,8,7,3,0.8333333333333334,0.3888888888888889,1.2496377131642094,-0.3426027095195965
P50,Low,On-nail,8,8,6,6,0.7222222222222222,0.7222222222222222,0.0,-0.5894557978497783
P51,High,Off-nail,4,8,3,5,0.7,0.6111111111111112,0.24218436564553242,-0.40330832988527443
P51,High,On-nail,4,8,3,2,0.7,0.2777777777777778,1.113856310557819,0.03252764257086882
P51,Low,Off-nail,8,8,5,6,0.6111111111111112,0.7222222222222222,-0.30723965078727006,-0.43583597245614325
P51,Low,On-nail,8,8,3,3,0.3888888888888889,0.3888888888888889,0.0,0.28221614706250814
P52,High,Off-nail,4,8,4,4,0.9,0.5,1.2815515655446004,-0.6407757827723002
P52,High,On-nail,4,8,3,3,0.7,0.3888888888888889,0.8066166597705489,-0.12109218282276626
P52,Low,Off-nail,8,8,7,4,0.8333333333333334,0.5,0.9674215661017012,-0.4837107830508506
P52,Low,On-nail,8,8,4,4,0.5,0.5,0.0,-0.0
P53,High,Off-nail,4,8,3,5,0.7,0.6111111111111112,0.24218436564553242,-0.40330832988527443
P53,High,On-nail,4,8,3,4,0.7,0.5,0.5244005127080407,-0.26220025635402033
P53,Low,Off-nail,8,8,5,4,0.6111111111111112,0.5,0.28221614706250825,-0.14110807353125412
P53,Low,On-nail,8,8,6,5,0.7222222222222222,0.6111111111111112,0.30723965078727006,-0.43583597245614325
P54,High,Off-nail,4,8,4,4,0.9,0.5,1.2815515655446004,-0.6407757827723002
P54,High,On-nail,4,8,4,2,0.9,0.2777777777777778,1.8710073633943787,-0.34604788384741103
P54,Low,Off-nail,8,8,6,3,0.7222222222222222,0.3888888888888889,0.8716719449122865,-0.15361982539363508
P54,Low,On-nail,8,8,6,3,0.7222222222222222,0.3888888888888889,0.8716719449122865,-0.15361982539363508
P55,High,Off-nail,4,8,4,3,0.9,0.3888888888888889,1.5637677126071086,-0.4996677092410461
P55,High,On-nail,4,8,3,3,0.7,0.3888888888888889,0.8066166597705489,-0.12109218282276626
P55,Low,Off-nail,8,8,6,5,0.7222222222222222,0.6111111111111112,0.30723965078727006,-0.43583597245614325
P55,Low,On-nail,8,8,3,4,0.3888888888888889,0.5,-0.28221614706250814,0.14110807353125407
P56,High,Off-nail,4,8,3,4,0.7,0.5,0.5244005127080407,-0.26220025635402033
P56,High,On-nail,4,8,3,4,0.7,0.5,0.5244005127080407,-0.26220025635402033
P56,Low,Off-nail,8,8,5,4,0.6111111111111112,0.5,0.28221614706250825,-0.14110807353125412
P56,Low,On-nail,8,8,3,5,0.3888888888888889,0.6111111111111112,-0.5644322941250164,-5.551115123125783e-17
P59,High,Off-nail,4,8,3,6,0.7,0.7222222222222222,-0.06505528514173764,-0.5569281552789095
P59,High,On-nail,4,8,4,3,0.9,0.3888888888888889,1.5637677126071086,-0.4996677092410461
P59,Low,Off-nail,8,8,6,4,0.7222222222222222,0.5,0.5894557978497783,-0.29472789892488915
P59,Low,On-nail,8,8,6,4,0.7222222222222222,0.5,0.5894557978497783,-0.29472789892488915
